address,name,module,confidence,evidence
0x00431A0F,TextHelper_ctor,text,observed,IDA decompile and disassembly plus unique TH06/TH08 instruction identity
0x00431A4B,TextHelper_dtor,text,observed,IDA decompile and direct call to 0x00431A5C plus exact TH06 bytes
0x00431A5C,TextHelper_release_buffer,text,observed,IDA decompile and exact GDI callees plus unique TH06/TH08 instruction identity
0x00431ACE,TextHelper_allocate_buffer_with_fallback,text,observed,IDA decompile plus exact TH06/TH08 bytes
0x00431B2D,TextHelper_try_allocate_buffer,text,observed,IDA decompile and GDI/memset callees plus unique TH06/TH08 instruction identity
0x00431CEC,TextHelper_get_format_info,text,observed,IDA decompile and exact xref from 0x00431B2D to target format table 0x0049ED98
0x0045CF50,CSound_ctor,sound,observed,Exact-target disassembly and strict VC7 COFF comparison
0x0045D060,CStreamingSound_init_sound_buffers,sound,observed,Exact-target DirectSound calls and strict VC7 COFF comparison
0x0045D2C0,CSound_dtor,sound,observed,Exact-target vptr and delete calls plus strict VC7 COFF comparison
0x0045D860,CSound_stop,sound,observed,Exact-target DirectSound vtable calls and strict VC7 COFF comparison
0x0045D910,CSound_pause,sound,observed,Exact-target DirectSound vtable call and strict VC7 COFF comparison
0x0045D960,CSound_unpause,sound,observed,Exact-target DirectSound vtable call and strict VC7 COFF comparison
0x0045DA20,CStreamingSound_ctor,sound,observed,Exact-target base constructor call and strict VC7 COFF comparison
0x0045DAD0,CStreamingSound_update_fade_out,sound,observed,Exact-target fade control flow and strict VC7 COFF comparison
0x0045DF50,CStreamingSound_reset,sound,observed,Exact-target restore and stream-reset calls plus strict VC7 COFF comparison
0x00430290,Controller_get_joystick_caps,input,observed,Exact-target WINMM calls and strict VC7 COFF comparison
0x0044A460,ScreenEffect_clear,ui,observed,Exact-target D3D calls and strict VC7 COFF comparison
0x0044A520,ScreenEffect_set_viewport,ui,observed,Exact-target viewport writes and strict VC7 COFF comparison
0x0044ADF0,ScreenEffect_draw_full_fade,ui,observed,Exact-target fade rectangle and strict VC7 COFF comparison
0x0044AF30,ScreenEffect_draw_arcade_fade,ui,observed,Exact-target arcade rectangle and strict VC7 COFF comparison
0x0045C7D0,CSoundManager_set_primary_buffer_format,sound,observed,Exact-target DirectSound calls and strict VC7 no-GS G6 COFF comparison
0x0045D3C0,CSound_fill_buffer_with_sound,sound,observed,Exact-target wave calls and strict VC7 no-GS G6 COFF comparison
0x004276A0,BulletManager_register_chain,bullet,observed,Exact-target callback wiring and strict VC7 COFF comparison
0x00427760,BulletManager_cut_chain,bullet,observed,Exact-target chain cuts and strict VC7 COFF comparison
0x0042FA60,Chain_dtor,chain,observed,Exact-target member destruction and strict VC7 COFF comparison
0x0042FAB0,ChainElem_ctor,chain,observed,Exact-target field initialization order and TH06 corroboration
0x0042FB20,ChainElem_dtor,chain,observed,Exact-target deleted callback behavior and strict VC7 COFF comparison
0x0042FB80,Chain_ctor,chain,observed,Exact-target member construction and strict VC7 COFF comparison
0x0042FBD0,Chain_add_to_calc_chain,chain,observed,Exact-target sorted insertion and strict VC7 COFF comparison
0x0042FCA0,Chain_add_to_draw_chain,chain,observed,Exact-target sorted insertion and strict VC7 COFF comparison
0x0042FD60,Chain_run_calc_chain,chain,observed,Exact-target callback result switch and restart behavior
0x0042FE20,Chain_run_draw_chain,chain,observed,Exact-target callback result switch behavior
0x0042FEE0,Chain_release_single_chain,chain,observed,Exact-target release walk and allocator calls
0x00430060,Chain_release,chain,observed,Exact-target dual-list release and strict VC7 COFF comparison
0x00430090,Chain_create_elem,chain,observed,Exact-target allocation and heap flag setup
0x00430140,Chain_cut,chain,observed,Exact-target calc/draw search and unlink behavior
0x0043EDC0,Player_die,player,observed,Exact-target death state effect and sound calls plus strict VC7 COFF comparison
0x0043E4E0,Player_calc_item_box_collision,player,observed,Exact-target item-box state and AABB checks plus strict VC7 COFF comparison
0x004309C0,Controller_get_controller_state,input,observed,Exact-target joystick and DirectInput state acquisition plus strict VC7 COFF comparison
0x0043E3B0,Player_check_graze,player,observed,Exact-target graze expansion and collision control flow plus strict VC7 COFF comparison
0x004277A0,BulletManager_remove_all_bullets,bullet,observed,Exact-target embedded-bullet reset loop plus strict VC7 no-GS G6 COFF comparison
0x004312C0,Controller_reset_keyboard,input,observed,Exact-target Win32 keyboard-state reset loop plus strict VC7 no-GS G6 COFF comparison
0x004232E0,BulletManager_initialize,bullet,observed,Exact-target whole-manager reset and bullet sentinel initialization plus strict VC7 no-GS G6 COFF comparison
0x0040E4F0,EclManager_unload,ecl,observed,Exact-target ECL allocation release plus strict VC7 no-GS G6 COFF comparison
0x0040E530,EclManager_call_ecl_sub,ecl,observed,Exact-target ECL subroutine context switch plus strict VC7 no-GS G6 COFF comparison
0x00426B00,BulletManager_draw_selected_bullet_animation,bullet,observed,Exact-target selected animation VM render helper plus strict VC7 no-GS G6 COFF comparison
0x00426C40,BulletManager_on_draw,bullet,observed,Exact-target laser item and bullet draw loops plus strict VC7 no-GS G6 COFF comparison
